z_min z_max loglx_lo loglx_hi  LFsoft  LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.60 0.80 42.25 42.50   1.414E-04   1.216E-04   1.643E-04   50.63   3.201E-04   2.640E-04   3.873E-04   32.21
 0.60 0.80 42.50 42.75   1.287E-04   1.112E-04   1.488E-04   53.78   2.175E-04   1.854E-04   2.548E-04   45.52
 0.60 0.80 42.75 43.00   8.320E-05   6.995E-05   9.881E-05   39.06   1.864E-04   1.631E-04   2.130E-04   63.40
 0.60 0.80 43.00 43.25   4.767E-05   3.861E-05   5.871E-05   27.28   1.297E-04   1.126E-04   1.493E-04   57.03
 0.60 0.80 43.25 43.50   3.316E-05   2.723E-05   4.030E-05   30.87   8.553E-05   7.145E-05   1.022E-04   36.53
 0.60 0.80 43.50 43.75   2.037E-05   1.709E-05   2.426E-05   38.03   3.620E-05   2.877E-05   4.538E-05   23.39
 0.60 0.80 43.75 44.00   1.154E-05   9.255E-06   1.436E-05   25.05   1.891E-05   1.452E-05   2.450E-05   18.17
 0.60 0.80 44.00 44.25   5.063E-06   3.614E-06   7.025E-06   11.83   6.705E-06   4.784E-06   9.305E-06   11.80
 0.60 0.80 44.25 44.50   2.185E-06   1.163E-06   3.899E-06    4.18   3.485E-06   2.386E-06   5.020E-06    9.69
 0.60 0.80 44.50 44.75   4.743E-07   1.194E-07   1.362E-06    1.35   1.747E-06   1.080E-06   2.756E-06    6.47
 0.60 0.80 44.75 45.00   4.996E-07   1.529E-07   1.293E-06    1.66   5.291E-07   3.398E-07   8.070E-07    7.43
 0.60 0.80 45.00 45.25   1.710E-07   8.295E-12   1.365E-06    0.31   8.115E-08   2.597E-08   2.047E-07    1.75
 0.60 0.80 45.25 45.50   8.707E-08   3.152E-08   2.038E-07    2.05   0.000E+00        -NaN        -NaN    0.00
 0.60 0.80 46.00 46.25   1.780E-10   3.183E-11   5.974E-10    1.03   0.000E+00        -NaN        -NaN    0.00
 0.80 1.00 40.75 41.00   1.385E-03   2.829E-04   4.389E-03    1.13   0.000E+00        -NaN        -NaN    0.00
 0.80 1.00 41.00 41.25   1.160E-03   7.045E-04   1.858E-03    6.09   0.000E+00        -NaN        -NaN    0.00
 0.80 1.00 41.25 41.50   9.496E-04   6.974E-04   1.283E-03   13.81   1.599E-04  -1.186E-02   9.928E-03    0.03
 0.80 1.00 41.50 41.75   5.204E-04   4.058E-04   6.646E-04   20.24   4.006E-04   1.833E-05   2.004E-03    0.56
 0.80 1.00 41.75 42.00   2.555E-04   2.015E-04   3.227E-04   22.03   3.640E-04   1.566E-04   7.604E-04    2.68
 0.80 1.00 42.00 42.25   1.488E-04   1.206E-04   1.831E-04   27.47   3.249E-04   2.164E-04   4.800E-04    8.58
 0.80 1.00 42.25 42.50   1.408E-04   1.195E-04   1.658E-04   43.19   2.566E-04   1.927E-04   3.397E-04   15.72
 0.80 1.00 42.50 42.75   1.327E-04   1.155E-04   1.524E-04   59.02   2.108E-04   1.707E-04   2.598E-04   27.18
 0.80 1.00 42.75 43.00   8.225E-05   7.096E-05   9.526E-05   52.67   1.541E-04   1.296E-04   1.828E-04   39.38
 0.80 1.00 43.00 43.25   6.124E-05   5.143E-05   7.281E-05   38.60   1.247E-04   1.080E-04   1.440E-04   54.92
 0.80 1.00 43.25 43.50   4.709E-05   3.948E-05   5.609E-05   37.87   7.186E-05   6.105E-05   8.448E-05   43.82
 0.80 1.00 43.50 43.75   2.650E-05   2.208E-05   3.174E-05   35.64   5.176E-05   4.301E-05   6.217E-05   34.66
 0.80 1.00 43.75 44.00   2.308E-05   1.971E-05   2.700E-05   46.57   3.678E-05   3.017E-05   4.474E-05   30.59
 0.80 1.00 44.00 44.25   1.126E-05   9.355E-06   1.354E-05   34.43   1.855E-05   1.503E-05   2.285E-05   27.28
 0.80 1.00 44.25 44.50   3.893E-06   2.801E-06   5.361E-06   12.34   5.839E-06   4.289E-06   7.887E-06   13.83
 0.80 1.00 44.50 44.75   2.270E-06   1.471E-06   3.435E-06    7.70   3.514E-06   2.498E-06   4.894E-06   11.57
 0.80 1.00 44.75 45.00   2.713E-07   3.271E-08   1.053E-06    0.81   1.177E-06   6.847E-07   1.952E-06    5.34
 0.80 1.00 45.00 45.25   1.396E-07   1.826E-09   8.492E-07    0.43   1.204E-07   3.399E-08   3.258E-07    1.52
 1.00 1.20 41.00 41.25   1.530E-03   5.609E-04   3.554E-03    2.08   0.000E+00        -NaN        -NaN    0.00
 1.00 1.20 41.25 41.50   9.550E-04   6.161E-04   1.451E-03    7.56   0.000E+00        -NaN        -NaN    0.00
 1.00 1.20 41.50 41.75   4.971E-04   3.563E-04   6.872E-04   12.08   1.658E-04  -1.360E-03   5.348E-03    0.06
 1.00 1.20 41.75 42.00   3.070E-04   2.342E-04   4.003E-04   17.39   1.650E-04   5.571E-06   8.746E-04    0.52
 1.00 1.20 42.00 42.25   1.745E-04   1.361E-04   2.228E-04   20.32   2.039E-04   8.123E-05   4.489E-04    2.36
 1.00 1.20 42.25 42.50   1.439E-04   1.158E-04   1.784E-04   25.78   2.324E-04   1.547E-04   3.434E-04    8.56
 1.00 1.20 42.50 42.75   1.152E-04   9.808E-05   1.351E-04   44.98   1.698E-04   1.264E-04   2.264E-04   14.97
 1.00 1.20 42.75 43.00   9.684E-05   8.373E-05   1.119E-04   54.19   1.549E-04   1.260E-04   1.899E-04   28.42
 1.00 1.20 43.00 43.25   5.471E-05   4.631E-05   6.454E-05   42.07   1.369E-04   1.166E-04   1.607E-04   44.81
 1.00 1.20 43.25 43.50   3.948E-05   3.243E-05   4.795E-05   31.04   8.156E-05   7.005E-05   9.485E-05   49.90
 1.00 1.20 43.50 43.75   3.101E-05   2.554E-05   3.757E-05   31.80   6.887E-05   5.903E-05   8.027E-05   48.57
 1.00 1.20 43.75 44.00   2.274E-05   1.894E-05   2.726E-05   35.38   3.995E-05   3.323E-05   4.794E-05   34.95
 1.00 1.20 44.00 44.25   1.354E-05   1.151E-05   1.591E-05   44.22   2.310E-05   1.833E-05   2.901E-05   23.07
 1.00 1.20 44.25 44.50   6.840E-06   5.566E-06   8.386E-06   28.45   8.479E-06   6.270E-06   1.138E-05   14.35
 1.00 1.20 44.50 44.75   1.601E-06   1.006E-06   2.489E-06    6.86   2.448E-06   1.606E-06   3.664E-06    8.07
 1.00 1.20 44.75 45.00   1.139E-06   5.538E-07   2.178E-06    3.39   7.596E-07   3.779E-07   1.428E-06    3.57
 1.00 1.20 45.00 45.25   9.776E-08   1.539E-09   5.815E-07    0.44   5.539E-07   3.024E-07   9.682E-07    4.46
 1.00 1.20 45.25 45.50   0.000E+00        -NaN        -NaN    0.00   7.870E-08   2.729E-08   1.892E-07    1.93
 1.20 1.50 41.25 41.50   1.228E-03   5.890E-04   2.372E-03    3.30   3.397E-03  -6.564E-01   2.882E-01    0.02
 1.20 1.50 41.50 41.75   4.801E-04   2.976E-04   7.553E-04    6.53   2.369E-03  -6.456E-05   2.719E-02    0.20
 1.20 1.50 41.75 42.00   2.783E-04   2.002E-04   3.832E-04   12.34   5.712E-04   2.745E-05   2.829E-03    0.57
 1.20 1.50 42.00 42.25   1.393E-04   1.051E-04   1.835E-04   16.21   3.080E-04   1.079E-04   7.359E-04    1.96
 1.20 1.50 42.25 42.50   9.546E-05   7.501E-05   1.210E-04   21.42   1.769E-04   1.003E-04   2.999E-04    4.94
 1.20 1.50 42.50 42.75   7.263E-05   6.031E-05   8.732E-05   34.35   1.615E-04   1.131E-04   2.280E-04   10.75
 1.20 1.50 42.75 43.00   7.368E-05   6.414E-05   8.456E-05   59.34   1.719E-04   1.371E-04   2.148E-04   24.00
 1.20 1.50 43.00 43.25   5.804E-05   5.096E-05   6.607E-05   66.74   1.053E-04   8.774E-05   1.262E-04   35.59
 1.20 1.50 43.25 43.50   5.056E-05   4.382E-05   5.829E-05   55.87   9.486E-05   8.296E-05   1.084E-04   63.19
 1.20 1.50 43.50 43.75   3.504E-05   2.978E-05   4.119E-05   43.87   6.958E-05   6.111E-05   7.917E-05   67.12
 1.20 1.50 43.75 44.00   2.583E-05   2.205E-05   3.022E-05   46.40   4.358E-05   3.775E-05   5.027E-05   55.55
 1.20 1.50 44.00 44.25   2.404E-05   2.111E-05   2.736E-05   66.85   3.267E-05   2.773E-05   3.844E-05   43.36
 1.20 1.50 44.25 44.50   7.461E-06   6.324E-06   8.793E-06   42.63   1.442E-05   1.152E-05   1.799E-05   24.35
 1.20 1.50 44.50 44.75   2.359E-06   1.768E-06   3.129E-06   15.53   4.355E-06   3.263E-06   5.776E-06   15.52
 1.20 1.50 44.75 45.00   7.799E-07   4.646E-07   1.269E-06    5.73   1.330E-06   8.692E-07   1.999E-06    7.94
 1.20 1.50 45.00 45.25   1.368E-07   1.344E-08   5.666E-07    0.74   2.100E-07   6.544E-08   5.379E-07    1.69
 1.20 1.50 45.25 45.50   0.000E+00        -NaN        -NaN    0.00   1.076E-07   3.573E-08   2.657E-07    1.83
 1.50 2.00 41.50 41.75   5.197E-04   2.309E-04   1.061E-03    2.84   8.037E-04  -1.160E+00   1.351E-01    0.01
 1.50 2.00 41.75 42.00   3.122E-04   2.030E-04   4.708E-04    7.80   2.326E-04  -6.538E-03   1.069E-02    0.05
 1.50 2.00 42.00 42.25   1.582E-04   1.155E-04   2.149E-04   13.36   2.329E-04   4.485E-06   1.349E-03    0.46
 1.50 2.00 42.25 42.50   8.868E-05   6.769E-05   1.156E-04   17.48   1.288E-04   3.878E-05   3.366E-04    1.62
 1.50 2.00 42.50 42.75   7.030E-05   5.756E-05   8.566E-05   30.09   1.129E-04   6.781E-05   1.825E-04    5.88
 1.50 2.00 42.75 43.00   6.149E-05   5.271E-05   7.166E-05   48.65   1.387E-04   1.062E-04   1.802E-04   17.86
 1.50 2.00 43.00 43.25   5.986E-05   5.291E-05   6.768E-05   73.87   1.068E-04   8.866E-05   1.285E-04   34.15
 1.50 2.00 43.25 43.50   3.799E-05   3.378E-05   4.270E-05   81.17   7.536E-05   6.521E-05   8.702E-05   54.72
 1.50 2.00 43.50 43.75   3.142E-05   2.768E-05   3.564E-05   70.17   6.368E-05   5.670E-05   7.149E-05   82.84
 1.50 2.00 43.75 44.00   2.279E-05   1.980E-05   2.620E-05   57.72   4.742E-05   4.241E-05   5.301E-05   89.11
 1.50 2.00 44.00 44.25   2.059E-05   1.791E-05   2.366E-05   58.53   3.000E-05   2.639E-05   3.408E-05   68.64
 1.50 2.00 44.25 44.50   1.040E-05   9.049E-06   1.194E-05   58.88   1.639E-05   1.390E-05   1.930E-05   42.90
 1.50 2.00 44.50 44.75   4.762E-06   4.055E-06   5.586E-06   44.99   6.509E-06   5.195E-06   8.130E-06   24.15
 1.50 2.00 44.75 45.00   1.797E-06   1.412E-06   2.278E-06   21.41   2.143E-06   1.576E-06   2.891E-06   13.93
 1.50 2.00 45.00 45.25   3.661E-07   1.857E-07   6.780E-07    3.73   5.175E-07   3.123E-07   8.329E-07    5.97
 1.50 2.00 45.25 45.50   8.664E-08   1.950E-08   2.628E-07    1.23   1.661E-07   6.650E-08   3.645E-07    2.38
 1.50 2.00 45.50 45.75   0.000E+00        -NaN        -NaN    0.00   8.419E-08   3.040E-08   1.975E-07    2.04
 1.50 2.00 45.75 46.00   1.259E-08  -3.761E-10   1.458E-07    0.20   1.880E-08   4.175E-09   5.740E-08    1.21
 2.00 2.50 41.75 42.00   3.562E-04   1.274E-04   8.405E-04    2.01   0.000E+00        -NaN        -NaN    0.00
 2.00 2.50 42.00 42.25   1.307E-04   6.547E-05   2.443E-04    3.62   9.297E-04  -4.146E-05   1.121E-02    0.19
 2.00 2.50 42.25 42.50   7.768E-05   4.900E-05   1.203E-04    6.96   9.699E-05  -5.825E-07   9.901E-04    0.23
 2.00 2.50 42.50 42.75   6.836E-05   5.019E-05   9.240E-05   13.78   1.271E-04   4.648E-05   2.957E-04    2.08
 2.00 2.50 42.75 43.00   5.701E-05   4.573E-05   7.085E-05   25.18   1.251E-04   7.667E-05   1.986E-04    6.29
 2.00 2.50 43.00 43.25   4.146E-05   3.437E-05   4.992E-05   33.84   9.238E-05   6.780E-05   1.249E-04   13.74
 2.00 2.50 43.25 43.50   3.637E-05   3.142E-05   4.205E-05   53.72   8.828E-05   7.249E-05   1.073E-04   30.86
 2.00 2.50 43.50 43.75   2.873E-05   2.512E-05   3.282E-05   63.14   7.066E-05   6.066E-05   8.222E-05   49.58
