# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.40 0.60 42.00 42.25   3.274E-04   2.583E-04   4.134E-04   22.09   3.500E-04   2.596E-04   4.686E-04   14.62
 0.40 0.60 42.25 42.50   2.422E-04   1.936E-04   3.020E-04   24.51   3.321E-04   2.670E-04   4.119E-04   25.64
 0.40 0.60 42.50 42.75   2.029E-04   1.650E-04   2.490E-04   28.22   2.366E-04   1.950E-04   2.865E-04   31.98
 0.40 0.60 42.75 43.00   1.590E-04   1.306E-04   1.932E-04   30.92   1.590E-04   1.318E-04   1.916E-04   33.65
 0.40 0.60 43.00 43.25   1.379E-04   1.163E-04   1.633E-04   40.32   1.230E-04   1.010E-04   1.495E-04   30.90
 0.40 0.60 43.25 43.50   8.668E-05   7.349E-05   1.021E-04   42.79   7.127E-05   5.727E-05   8.843E-05   25.56
 0.40 0.60 43.50 43.75   4.711E-05   3.911E-05   5.665E-05   34.27   3.994E-05   3.169E-05   5.016E-05   23.07
 0.40 0.60 43.75 44.00   1.824E-05   1.403E-05   2.359E-05   18.42   2.208E-05   1.728E-05   2.812E-05   20.74
 0.40 0.60 44.00 44.25   4.407E-06   2.642E-06   7.131E-06    5.85   6.999E-06   4.812E-06   1.005E-05    9.86
 0.40 0.60 44.25 44.50   1.461E-06   5.728E-07   3.252E-06    2.30   2.853E-06   1.921E-06   4.175E-06    8.98
 0.40 0.60 44.50 44.75   5.462E-07   4.810E-08   2.335E-06    0.70   7.310E-07   4.144E-07   1.239E-06    4.95
 0.40 0.60 44.75 45.00   3.790E-07   2.823E-08   1.695E-06    0.66   1.324E-07   3.240E-08   3.856E-07    1.32
 0.40 0.60 45.00 45.25   1.330E-07   5.632E-08   2.808E-07    2.61   1.579E-08  -1.557E-09   2.091E-07    0.17
 0.40 0.60 45.25 45.50   3.417E-08   1.443E-08   7.231E-08    2.60   2.284E-09  -3.479E-07   1.791E-07    0.03
 0.60 0.80 40.50 40.75   4.579E-03   1.968E-03   9.574E-03    2.67   0.000E+00        -NaN        -NaN    0.00
 0.60 0.80 40.75 41.00   2.787E-03   1.675E-03   4.501E-03    5.90   1.437E-03  -2.075E+00   2.417E-01    0.01
 0.60 0.80 41.00 41.25   1.600E-03   1.111E-03   2.275E-03   10.34   2.974E-03  -1.896E-05   3.047E-02    0.23
 0.60 0.80 41.25 41.50   1.057E-03   7.714E-04   1.438E-03   13.30   2.296E-03   6.930E-04   5.990E-03    1.63
