z gamma1 err1 gamma2 err2 phi_s err3 L_s err4 dtg err5 nfree redchi
4.2 0.394532792637 0.17252398209 2.08722312717 0.113761879895 -5.25419820469 0.185913266623 12.8050452779 0.139237799899 0.293172274218 0.0583307006532 112 3.73252821999
4.4 0.118711254462 0.393655181002 1.85415620805 0.116174448391 -4.89787944396 0.273637973415 12.4143340008 0.226349069135 0.299251649273 0.0886618119742 93 4.11418265681
4.6 0.15253874918 0.416633506306 1.85727604608 0.137311606272 -4.98656400694 0.310211292648 12.408981728 0.258622549652 0.315654460382 0.102901365336 92 4.49170563935
4.8 0.500928763955 0.365964513267 2.04270749073 0.138566092848 -5.19963946992 0.430586160228 12.6014750739 0.29440638254 0.427145107435 0.129148860584 94 3.65840560743
5.0 0.962872387832 0.220174334141 2.28880640264 0.227775717918 -6.25597989645 0.601698527041 13.1287874478 0.35610339745 0.308074070744 0.10266377131 83 3.19244835146
5.2 1.53291417338 0.373771093067 2.65444310158 0.958855726621 -7.70160259535 2.15134929897 13.7197967374 1.05895513812 0.135098596106 0.191075301951 35 4.32105508775
5.4 1.63019169429 0.216554606758 2.864077069 1.52535084184 -8.76838405255 1.58327569729 14.2039916094 0.737813814431 0.158054121297 0.112943421932 17 1.35005162365
5.6 1.09561995201 3310.83432824 1.09560128698 3310.90212474 -5.42858813935 18097264.7371 12.3403628447 16517515.2565 0.0126093359178 0.0262451046777 4 0.354390843271
5.8 1.52340347868 0.123175258998 3.43428312257 3.72709024569 -9.38664069994 0.726553230922 14.5178949567 0.443838804614 0.194428222762 0.120019151053 33 1.27655898419
6.0 1.54756943016 3934.34034984 1.54819650096 3934.20046088 -8.13159177951 3128457.69143 13.7757366296 2021095.14034 0.128510339846 0.0932305139409 34 1.01740546822
6.2 1.55219165059 3623.27443249 1.55218836046 3623.40774708 -8.17580220421 2755602.79342 13.759685416 1775278.29136 0.108979747924 0.0852570067883 34 0.973634644934
6.4 1.47363184443 0.122182615399 3.32297247836 2.16330368198 -9.20774301219 0.451014868577 14.2393008188 0.231315177781 0.055285515951 0.0617073595014 30 0.905028380836
6.6 1.12649267509 0.798185957281 2.29716746458 0.849475111109 -7.59319363746 2.21279838602 13.5937765457 1.10885016102 0.541912209683 1.23131193951 8 0.253422864424
6.8 -63.9515172427 38314318.4621 1.6560788004 0.0717730536008 -5.33545293647 8673.65902389 11.8086909492 5237.60494736 0.0793572898933 0.128083084228 3 0.0273918236696
7.0 -72.6619326852 505399788.998 1.61008556986 0.0550726682215 -5.41601848226 36351.6532903 11.8033579249 22577.4396353 0.0195428159137 0.026757799443 3 0.0268001697313
