#---------------------------------------------------------------------------
#-- J/ApJ/746/169 Luminosity function of broad-line quasars (Shen+, 2012)
#--------------------------------------------------------------------------
#---Table: J/ApJ/746/169/table3.dat Binned DR7 luminosity function (LF)  (322 records)
#      zbin F4.2   ---   [0.4/4.75] Redshift of the bin
#     magz2 F6.2   mag   [-29.25/-22.65] Magnitude of the bin
#    logPhi F7.3   [-]   [-9.4/-5.6]?=-99.999 Log of comoving space
#                         density log{Phi} (in Mpc^-3^mag^-1^ units)
#   elogPhi F7.3   [-]   [-9.6/-6.2]?=-99.999 Log of {Phi} uncertainty
#                         log{sigma} (in Mpc^-3^mag^-1^ units)
#---------------------------
#z_min z_max z_mid  magz2  logPhi elogPhi
#---------------------------
3.50 4.00 3.75 -23.85 -99.999 -99.999
3.50 4.00 3.75 -24.15 -99.999 -99.999
3.50 4.00 3.75 -24.45 -99.999 -99.999
3.50 4.00 3.75 -24.75 -99.999 -99.999
3.50 4.00 3.75 -25.05 -99.999 -99.999
3.50 4.00 3.75 -25.35 -99.999 -99.999
3.50 4.00 3.75 -25.65 -99.999 -99.999
3.50 4.00 3.75 -25.95 -99.999 -99.999
3.50 4.00 3.75 -26.25 -99.999 -99.999
3.50 4.00 3.75 -26.55 -99.999 -99.999
3.50 4.00 3.75 -26.85  -7.040  -7.880
3.50 4.00 3.75 -27.15  -7.078  -8.384
3.50 4.00 3.75 -27.45  -7.344  -8.650
3.50 4.00 3.75 -27.75  -7.476  -8.723
3.50 4.00 3.75 -28.05  -7.645  -8.815
3.50 4.00 3.75 -28.35  -7.835  -8.916
3.50 4.00 3.75 -28.65  -8.023  -9.011
3.50 4.00 3.75 -28.95  -8.390  -9.196
3.50 4.00 3.75 -29.25  -8.727  -9.366
4.00 4.50 4.25 -22.65 -99.999 -99.999
4.00 4.50 4.25 -22.95 -99.999 -99.999
4.00 4.50 4.25 -23.25 -99.999 -99.999
4.00 4.50 4.25 -23.55 -99.999 -99.999
4.00 4.50 4.25 -23.85 -99.999 -99.999
4.00 4.50 4.25 -24.15 -99.999 -99.999
4.00 4.50 4.25 -24.45 -99.999 -99.999
4.00 4.50 4.25 -24.75 -99.999 -99.999
4.00 4.50 4.25 -25.05 -99.999 -99.999
4.00 4.50 4.25 -25.35 -99.999 -99.999
4.00 4.50 4.25 -25.65 -99.999 -99.999
4.00 4.50 4.25 -25.95 -99.999 -99.999
4.00 4.50 4.25 -26.25 -99.999 -99.999
4.00 4.50 4.25 -26.55 -99.999 -99.999
4.00 4.50 4.25 -26.85 -99.999 -99.999
4.00 4.50 4.25 -27.15 -99.999 -99.999
4.00 4.50 4.25 -27.45  -7.494  -8.560
4.00 4.50 4.25 -27.75  -7.787  -8.891
4.00 4.50 4.25 -28.05  -7.865  -8.930
4.00 4.50 4.25 -28.35  -8.082  -9.039
4.00 4.50 4.25 -28.65  -8.333  -9.164
4.00 4.50 4.25 -28.95  -8.695  -9.345
4.00 4.50 4.25 -29.25  -8.792  -9.394
4.50 5.00 4.75 -22.65 -99.999 -99.999
4.50 5.00 4.75 -22.95 -99.999 -99.999
4.50 5.00 4.75 -23.25 -99.999 -99.999
4.50 5.00 4.75 -23.55 -99.999 -99.999
4.50 5.00 4.75 -23.85 -99.999 -99.999
4.50 5.00 4.75 -24.15 -99.999 -99.999
4.50 5.00 4.75 -24.45 -99.999 -99.999
4.50 5.00 4.75 -24.75 -99.999 -99.999
4.50 5.00 4.75 -25.05 -99.999 -99.999
4.50 5.00 4.75 -25.35 -99.999 -99.999
4.50 5.00 4.75 -25.65 -99.999 -99.999
4.50 5.00 4.75 -25.95 -99.999 -99.999
4.50 5.00 4.75 -26.25 -99.999 -99.999
4.50 5.00 4.75 -26.55 -99.999 -99.999
4.50 5.00 4.75 -26.85 -99.999 -99.999
4.50 5.00 4.75 -27.15 -99.999 -99.999
4.50 5.00 4.75 -27.45  -8.028  -8.665
4.50 5.00 4.75 -27.75  -7.975  -8.962
4.50 5.00 4.75 -28.05  -8.173  -9.073
4.50 5.00 4.75 -28.35  -8.393  -9.183
4.50 5.00 4.75 -28.65  -8.592  -9.283
4.50 5.00 4.75 -28.95  -9.018  -9.496
4.50 5.00 4.75 -29.25  -9.128  -9.550
