begin sampling
initial memory consumption:  129000
7977.90912032 2114
7943.52519404 2114
7966.65225992 2114
7952.3236776 2114
7993.69469008 2114
7956.18433089 2114
7962.01962703 2114
8026.93721515 2114
7947.36237424 2114
7994.26072038 2114
7978.74380713 2114
7956.98078697 2114
480394.989706 2114
7958.80133119 2114
7965.01790853 2114
7969.57311543 2114
7967.63480823 2114
7955.44889044 2114
7948.72277657 2114
7960.16913135 2114
7949.83976092 2114
7952.8853157 2114
7951.19376605 2114
7966.72679029 2114
7960.26515157 2114
7958.55491264 2114
7949.71004264 2114
7951.97059209 2114
7977.76191464 2114
7964.82448861 2114
7989.54236048 2114
7973.85113598 2114
8019.30112276 2114
8071.5338499 2114
7966.33560814 2114
667136.159714 2114
7949.10371818 2114
7956.66140013 2114
7944.71055973 2114
7959.16681767 2114
7952.54941422 2114
388074.618849 2114
7981.58302202 2114
8002.04523915 2114
7975.80666895 2114
7950.70557412 2114
45176.3733321 2114
8012.1054304 2114
7981.65459596 2114
7970.05527699 2114
7971.36305766 2114
497341.884989 2114
7955.39640509 2114
7973.0103049 2114
7947.23147287 2114
7970.46577841 2114
7979.5457205 2114
7995.14165348 2114
7969.31830494 2114
7958.48311669 2114
7957.19456967 2114
7946.98005708 2114
7958.85081478 2114
7943.72892565 2114
49845.1015339 2114
11059.4761066 2114
7970.22601613 2114
7950.16686143 2114
7955.12138583 2114
112354.086866 2114
7965.01027514 2114
7953.39885881 2114
7944.57187147 2114
7964.01632524 2114
7961.69537876 2114
7982.30889431 2114
7997.72058227 2114
1598823.5772 2114
7962.12244407 2114
7959.49559752 2114
7954.30158179 2114
7947.32809183 2114
7958.19207618 2114
4450283.65072 2114
7968.56222469 2114
162883725.305 1462
1528908.45748 1539
371375.246066 1566
151289.939729 2114
7950.63792915 2114
7959.8698664 2114
7955.88417426 2114
7986.99811615 2114
7942.34249384 2114
7956.99576226 2114
7960.52860538 2114
7943.03301082 2114
7965.83578584 2114
7954.96534076 2114
7958.19821234 2114
7973.94561722 2114
7953.84882059 2114
7956.00340506 2114
7968.84226163 2114
7964.78414426 2114
7965.50287225 2114
7981.42882346 2114
8021.67684934 2114
7950.10322934 2114
7969.12779971 2114
7953.1393433 2114
7972.51366591 2114
7959.5661562 2114
7955.22972676 2114
7959.36589181 2114
7946.50029616 2114
7944.31341728 2114
7955.74081557 2114
7959.40004765 2114
7952.20673141 2114
7980.89771603 2114
7951.99734887 2114
7946.41633103 2114
7963.88232421 2114
7980.61796372 2114
7985.19144403 2114
7949.06208323 2114
7989.71544966 2114
7967.03571722 2114
7999.2274641 2114
7941.54285522 2114
7982.11358662 2114
7966.47257183 2114
7973.02913508 2114
7965.71787238 2114
7949.29418201 2114
575715.035611 2114
7968.78739671 2114
7950.2554041 2114
7977.70175676 2114
693574.43348 2114
7948.87399719 2114
7955.37144797 2114
7964.53298223 2114
8037.46476425 2114
7946.20612785 2114
7945.08462317 2114
7949.87363071 2114
8008.67871778 2114
7945.64615818 2114
7997.61392938 2114
7943.7695849 2114
7960.92707426 2114
7954.53439493 2114
7954.35587871 2114
7997.47154983 2114
7962.36152403 2114
7950.71184214 2114
8003.32504496 2114
7970.12947062 2114
7972.75657615 2114
7953.30218815 2114
7957.77401636 2114
7964.69937186 2114
7956.45384505 2114
7948.96092381 2114
7967.54536136 2114
7988.13614722 2114
7952.56039791 2114
7951.38332453 2114
7963.90955591 2114
7967.29231836 2114
7966.54401959 2114
7978.4779118 2114
7946.59151498 2114
7946.22988699 2114
7969.95715323 2114
7945.05166628 2114
7971.58716568 2114
7974.73328272 2114
7941.22774226 2114
7960.43527091 2114
7958.9552768 2114
7948.84357301 2114
7952.03471669 2114
28813924.3951 1478
16133131.5981 1539
1324162.79514 1539
7974.31699928 2114
7946.35906986 2114
7942.03225653 2114
7988.83563804 2114
7968.04265304 2114
7947.98265865 2114
7950.99659557 2114
7944.29743975 2114
7964.0223237 2114
7965.36544983 2114
7947.44171312 2114
7959.21826567 2114
7959.57554847 2114
7944.93342739 2114
7991.44208335 2114
7961.25196906 2114
7961.47274187 2114
7943.93075988 2114
7951.77168934 2114
7980.90160195 2114
7973.63436643 2114
67358.6238523 2114
8036.35131593 2114
7964.65982459 2114
7963.27804134 2114
7963.99224859 2114
7976.36664922 2114
7940.71076504 2114
7971.89045897 2114
278420.775116 2114
7948.14992889 2114
8060.08938814 2114
7939.00873269 2114
7960.85175913 2114
7955.10821995 2114
7978.11309993 2114
7949.72193714 2114
7956.26792535 2114
7961.19677499 2114
7949.12599451 2114
7941.49922503 2114
7959.90416517 2114
7951.36203529 2114
7981.5496691 2114
7962.63301753 2114
7975.55506117 2114
7961.09208994 2114
7946.56281241 2114
330572.7747 2114
7956.71571492 2114
7975.49354105 2114
7956.77133402 2114
7955.57411604 2114
7958.630378 2114
7957.01816475 2114
7965.79462252 2114
7956.70670832 2114
7949.38773836 2114
8007.22614956 2114
7958.67337663 2114
7992.39578187 2114
7967.5691246 2114
7950.70757089 2114
7950.2967839 2114
7946.86880441 2114
7955.78477149 2114
7965.80851724 2114
7956.04204052 2114
7960.589167 2114
7987.84495156 2114
7944.60673092 2114
7962.22067922 2114
7946.28046446 2114
7968.46529079 2114
7958.63288092 2114
7952.16316542 2114
7972.20109818 2114
7989.61537895 2114
7999.01036369 2114
8026.07566875 2114
7967.37919185 2114
7994.69514491 2114
7964.0668377 2114
