begin sampling
initial memory consumption:  128244
  params: [ 0.87107343 -0.2864248   0.02397246  1.84911667  0.3119274  -2.84387238
  0.40649539 -3.64630159 -0.35917434 11.84799586  0.52389883 -0.7580811
  0.29921619]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 2.06806665 -0.42770086  1.10414773  2.9282357   0.10724655 -1.14685163
  0.50555125 -5.16698752 -0.32868458  5.28339039 -0.74658397 -1.1732071
  0.1919355 ]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.82727301 -0.26094183  0.02256414  1.87596031  0.30870319 -2.7936001
  0.41889436 -3.63307045 -0.36670181 11.85993628  0.52987273 -0.75710695
  0.29950618]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.85866948 -0.2812913   0.02414979  1.85139108  0.33025434 -2.80153348
  0.41276391 -3.60318772 -0.37149337 11.72571578  0.47192842 -0.7785069
  0.29102291]
  args: []
  kwargs: {}
  exception:
 [ 0.8466657  -0.26996125  0.02288662  1.83501651  0.2908016  -2.94208663
  0.39804495 -3.64720486 -0.36188292 11.90531193  0.55084126 -0.74943042
  0.30289488]
  args: []
  kwargs: {}
  exception:
 [ 0.85617878 -0.28128933  0.02385665  1.80299537  0.28154024 -2.93648712
  0.38379305 -3.62546012 -0.36591358 11.86225512  0.53463439 -0.7528109
  0.29920097]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.85992555 -0.27747046  0.02311982  1.75677898  0.24888375 -3.18962422
  0.36047331 -3.64255742 -0.35811336 11.81055743  0.50333826 -0.76203998
  0.29633818]
  args: []
  kwargs: {}
  exception:
